Hentestednr;Eiendomsnavn;Plassering;GnrBnrFnrSnr;Gatekode;Gatenavn;Husnummer;Bokstav;Postnummer;Sted;Dunktype;Beskrivelse;StorrelseId;EtikettId;Rutenavn;Rutenummer;X;Y;Startdag;Navn;TypeId;Bil;Frekvens;Remark
"101893";"Holmavegen 20";"";"";"";"Holmavegen";"20";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346147";"12611-1";"12611";"6707326";"284540";"1";"";"HPR";"348";"4";"askøy"
"101884";"Holmavegen 7";"";"";"";"Holmavegen";"7";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346135";"12611-1";"12611";"6707355";"284526";"1";"";"HPR";"348";"4";"askøy"
"101919";"Holmavegen 15";"";"";"";"Holmavegen";"15";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346197";"12611-1";"12611";"6707373";"284531";"1";"";"HPR";"348";"4";"askøy"
"101918";"Holmavegen 13";"";"";"";"Holmavegen";"13";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346195";"12611-1";"12611";"6707373";"284531";"1";"";"HPR";"348";"4";"askøy"
"101877";"Holmavegen 10";"";"";"";"Holmavegen";"10";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346127";"12611-1";"12611";"6707464";"284533";"1";"";"HPR";"348";"4";"askøy"
"101932";"Holmavegen 2";"";"";"";"Holmavegen";"2";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346223";"12611-1";"12611";"6707474";"284533";"1";"";"HPR";"348";"4";"askøy"
"101900";"Holmavegen 8";"";"";"";"Holmavegen";"8";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346157";"12611-1";"12611";"6707474";"284533";"1";"";"HPR";"348";"4";"askøy"
"101912";"Holmavegen 4";"";"";"";"Holmavegen";"4";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346183";"12611-1";"12611";"6707475";"284535";"1";"";"HPR";"348";"4";"askøy"
"101960";"Hanøyvegen 530";"";"";"";"Hanøyvegen";"530";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346283";"12611-1";"12611";"6707493";"284427";"1";"";"HPR";"348";"4";"askøy"
"124952";"Hanøyvegen 534";"";"";"";"Hanøyvegen";"534";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"745183";"12611-1";"12611";"6707491";"284429";"1";"";"HPR";"348";"4";"askøy"
"101957";"Hanøyvegen 537";"";"";"";"Hanøyvegen";"537";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346277";"12611-1";"12611";"6707498";"284406";"1";"";"HPR";"348";"4";"askøy"
"101959";"Hanøyvegen 527";"";"";"";"Hanøyvegen";"527";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346281";"12611-1";"12611";"6707498";"284406";"1";"";"HPR";"348";"4";"askøy"
"101958";"Hanøyvegen 531";"";"";"";"Hanøyvegen";"531";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346279";"12611-1";"12611";"6707502";"284403";"1";"";"HPR";"348";"4";"askøy"
"101949";"Hanøy 342";"";"";"";"Hanøyvegen";"535";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346259";"12611-1";"12611";"6707500";"284402";"1";"";"HPR";"348";"4";"askøy"
"101869";"Hanøyvegen 526";"";"";"";"Hanøyvegen";"526";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"240";"10424182";"12611-1";"12611";"6707504";"284396";"1";"";"HPR";"348";"4";"askøy"
"101969";"Hanøyvegen 551";"";"";"";"Hanøyvegen";"551";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346297";"12611-1";"12611";"6707498";"284216";"1";"";"HPR";"348";"4";"askøy"
"101872";"Hanøyvegen 549";"";"";"";"Hanøyvegen";"549";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346123";"12611-1";"12611";"6707498";"284219";"1";"";"HPR";"348";"4";"askøy"
"101969";"Hanøyvegen 551";"";"";"";"Hanøyvegen";"551";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10281367";"12611-1";"12611";"6707498";"284219";"1";"";"HPR";"348";"4";"askøy"
"101978";"Hanøyvegen 555";"";"";"";"Hanøyvegen";"555";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346315";"12611-1";"12611";"6707500";"284219";"1";"";"HPR";"348";"4";"askøy"
"101925";"Hanøyvegen 545";"";"";"";"Hanøyvegen";"545";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346209";"12611-1";"12611";"6707500";"284220";"1";"";"HPR";"348";"4";"askøy"
"101902";"Hanøyvegen 561";"";"";"";"Hanøyvegen";"561";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10000556";"12611-1";"12611";"6707500";"284220";"1";"";"HPR";"348";"4";"askøy"
"101924";"Hanøyvegen 564";"";"";"";"Hanøyvegen";"564";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10167811";"12611-1";"12611";"6707451";"284123";"1";"";"HPR";"348";"4";"askøy"
"101822";"Hanøyvegen 565";"";"";"";"Hanøyvegen";"565";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346072";"12611-1";"12611";"6707451";"284123";"1";"";"HPR";"348";"4";"askøy"
"101950";"Hanøyvegen 560";"";"";"";"Hanøyvegen";"560";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346261";"12611-1";"12611";"6707451";"284126";"1";"";"HPR";"348";"4";"askøy"
"101976";"Ramsøyvegen 11";"";"";"";"Ramsøyvegen";"11";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"240";"10281624";"12611-1";"12611";"6707244";"283915";"1";"";"HPR";"348";"4";"askøy"
"101968";"Ramsøyvegen 22";"";"";"";"Ramsøyvegen";"22";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346295";"12611-1";"12611";"6707239";"283914";"1";"";"HPR";"348";"4";"askøy"
"101979";"Ramsøyvegen 14";"";"";"";"Ramsøyvegen";"14";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346317";"12611-1";"12611";"6707239";"283914";"1";"";"HPR";"348";"4";"askøy"
"101975";"Ramsøyvegen 13";"";"";"";"Ramsøyvegen";"13";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346309";"12611-1";"12611";"6707239";"283914";"1";"";"HPR";"348";"4";"askøy"
"112219";"Ramsøyvegen 12";"";"";"";"Ramsøyvegen";"12";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"355409";"12611-1";"12611";"6707239";"283914";"1";"";"HPR";"348";"4";"askøy"
"101972";"Ramsøyvegen 10";"";"";"";"Ramsøyvegen";"10";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346303";"12611-1";"12611";"6707239";"283914";"1";"";"HPR";"348";"4";"askøy"
"137717";"Ramsøyvegen 18";"";"";"";"Ramsøyvegen";"18";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10226935";"12611-1";"12611";"6707237";"283912";"1";"";"HPR";"348";"4";"askøy"
"129292";"Ramsøyvegen 20";"";"Ramsøyvegen 20";"";"Ramsøyvegen";"20";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"240";"10463644";"12611-1";"12611";"6707239";"283909";"1";"";"HPR";"348";"4";"4627.19.405.0.0"
